iteration 1
theta0 -3.0531133177191805e-18
theta1 -0.008561394207905023

iteration 2
theta0 -2.7755575615628915e-18
theta1 -0.017037174473730994

iteration 3
theta0 -2.8680761469483214e-18
theta1 -0.025428196936898705

iteration 4
theta0 -2.7755575615628915e-18
theta1 -0.03373530917543474

iteration 5
theta0 -3.5157062446463286e-18
theta1 -0.041959350291585415

iteration 6
theta0 -1.8503717077085942e-18
theta1 -0.050101150996574584

iteration 7
theta0 -8.326672684688674e-19
theta1 -0.05816153369451386

iteration 8
theta0 -2.312964634635743e-18
theta1 -0.06614131256547374

iteration 9
theta0 -2.498001805406602e-18
theta1 -0.07404129364772402

iteration 10
theta0 -2.590520390792032e-18
theta1 -0.0818622749191518

iteration 11
theta0 -1.6653345369377347e-18
theta1 -0.0896050463778653

iteration 12
theta0 -2.220446049250313e-18
theta1 -0.09727039012199168

iteration 13
theta0 -2.498001805406602e-18
theta1 -0.10485908042867678

iteration 14
theta0 -3.5157062446463286e-18
theta1 -0.11237188383229503

iteration 15
theta0 -1.3877787807814458e-18
theta1 -0.1198095592018771

iteration 16
theta0 -2.498001805406602e-18
theta1 -0.12717285781776336

iteration 17
theta0 -1.4802973661668753e-18
theta1 -0.13446252344749074

iteration 18
theta0 -2.6830389761774616e-18
theta1 -0.14167929242092087

iteration 19
theta0 -2.220446049250313e-18
theta1 -0.14882389370461668

iteration 20
theta0 -1.0177044392397268e-18
theta1 -0.15589704897547554

iteration 21
theta0 -2.498001805406602e-18
theta1 -0.1628994726936258

iteration 22
theta0 -2.6830389761774616e-18
theta1 -0.16983187217459458

iteration 23
theta0 -2.8680761469483214e-18
theta1 -0.17669494766075367

iteration 24
theta0 -1.1102230246251566e-18
theta1 -0.18348939239205114

iteration 25
theta0 -2.4054832200211722e-18
theta1 -0.19021589267603564

iteration 26
theta0 -1.942890293094024e-18
theta1 -0.19687512795718032

iteration 27
theta0 -2.498001805406602e-18
theta1 -0.20346777088551354

iteration 28
theta0 -2.590520390792032e-18
theta1 -0.20999448738456344

iteration 29
theta0 -2.312964634635743e-18
theta1 -0.21645593671862284

iteration 30
theta0 -2.220446049250313e-18
theta1 -0.22285277155934163

iteration 31
theta0 -2.4054832200211722e-18
theta1 -0.22918563805165323

iteration 32
theta0 -2.220446049250313e-18
theta1 -0.23545517587904172

iteration 33
theta0 -2.312964634635743e-18
theta1 -0.24166201832815631

iteration 34
